Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance(%),Midterm_Score,Final_score,Assignment_Avg,Quizzes_Avg,Participation_Score,Project_Score,Total_Score,Grade,Study_Hour_Per_Week,ExtraCircular_Activities,Internet_Access,Parent_Education,Family_Income,Stress(1 - 10)
S1000,NTBOS,TEGCV,ntbos448@outlook.com,Male,24,BBA,65.16144094317265,28,34,5.19,6.42,10,20,103.61,B,18,No,No,Graduate,Low,3
S1001,JANUM,HHPXG,janum846@outlook.com,Male,22,CSE,84.2603939012877,31,30,5.45,6.7,6,10,89.15,C,3,Yes,No,Primary,High,9
S1002,RTIJW,QZKWR,rtijw725@edu.in,Male,18,ME,97.26274001115863,32,31,6.24,9.52,10,11,99.75,C,14,No,No,None,Medium,1
S1003,HKAES,RNTAQ,hkaes861@edu.in,Male,21,CE,92.11788570644414,22,32,7.42,7.43,7,15,90.85,C,8,Yes,Yes,Primary,High,10
S1004,QDHUS,SLLED,qdhus881@gmail.com,Female,23,IT,97.50599737596175,22,35,8.6,7.38,8,18,98.98,C,5,No,No,Primary,Medium,1
S1005,OTWCJ,NLTIY,otwcj779@gmail.com,Male,23,ME,84.92317269394489,40,44,5.75,6.49,6,12,114.24,B,8,Yes,Yes,Post-Graduate,High,1
S1006,JJZAI,VYAJP,jjzai858@outlook.com,Other,24,ME,79.77269177813687,23,45,5.44,8.59,8,10,100.03,B,16,Yes,Yes,None,Low,8
S1007,KOXDK,XIJRO,koxdk607@gmail.com,Other,25,ECE,73.71945184886017,34,30,8.31,5.87,5,18,101.17,B,8,No,No,Post-Graduate,High,7
S1008,ZEQWP,NIHKL,zeqwp73@edu.in,Female,22,CSE,87.55103997755954,26,47,5.71,9.06,7,14,108.76,B,4,Yes,No,Primary,Low,6
S1009,TIVXY,PRQCM,tivxy377@yahoo.com,Male,22,MBA,72.74162060655445,23,33,6.77,5.55,9,15,92.32,C,9,Yes,Yes,None,Medium,6
S1010,LVIPA,UFOTP,lvipa878@yahoo.com,Female,21,MBA,90.98876975666201,34,48,6.44,8.45,5,16,117.89,B,2,Yes,No,Primary,High,5
S1011,UKTWQ,LGKJF,uktwq121@edu.in,Other,24,ME,62.14193529851317,35,40,9.58,6.91,5,17,113.49,B,17,No,No,Graduate,Medium,6
S1012,LPWOO,AYKLF,lpwoo643@edu.in,Male,24,MBA,83.51312331017314,32,47,7.51,8.26,7,10,111.76,B,13,No,Yes,Secondary,Low,7
S1013,QTJNN,TCHZP,qtjnn429@yahoo.com,Female,18,AI/ML,76.46802346000182,27,35,7.0,9.1,10,11,99.09,C,15,Yes,No,Primary,High,8
S1014,NXPSA,YLRBC,nxpsa921@yahoo.com,Female,23,ME,97.6477772977545,34,36,7.17,6.63,5,11,99.81,C,1,No,Yes,Graduate,High,6
S1015,BFVYO,YPWZK,bfvyo637@gmail.com,Other,18,BBA,88.5099826441519,32,34,9.07,7.24,6,12,100.31,B,11,Yes,No,Graduate,Medium,5
S1016,TXFIJ,AIFMS,txfij346@gmail.com,Female,18,ME,67.32058772189552,34,47,6.52,7.73,9,16,120.24,A,15,Yes,No,Graduate,Low,8
S1017,NFGRV,XIOGK,nfgrv614@yahoo.com,Male,18,CSE,96.66050823279603,40,40,9.88,9.37,7,20,126.25,A,17,Yes,Yes,None,High,3
S1018,NDZRG,WNQFH,ndzrg860@gmail.com,Male,19,MBA,75.44530172730232,35,34,5.93,9.15,9,18,111.09,B,11,Yes,Yes,Post-Graduate,Medium,1
S1019,UOJSV,CXVSY,uojsv819@outlook.com,Female,18,CSE,96.1388912405621,22,41,8.46,7.84,8,16,103.3,B,1,Yes,Yes,None,Medium,6
S1020,MGNTG,LQLNF,mgntg575@outlook.com,Female,21,CE,60.0209513470508,22,45,8.99,6.54,6,12,100.52,B,17,No,Yes,Primary,Low,10
S1021,JRYDK,OYSLV,jrydk737@edu.in,Male,20,MBA,77.06303822240875,38,49,8.02,9.36,8,10,122.38,A,20,No,No,Secondary,Low,10
S1022,MPGFK,YTGNA,mpgfk132@gmail.com,Male,22,CE,68.19705245668561,20,43,8.72,6.75,5,12,95.47,C,10,No,Yes,None,High,5
S1023,SSJMB,FUIEF,ssjmb819@edu.in,Female,25,CE,73.05192421216735,29,38,6.87,5.73,5,10,94.61,C,13,No,Yes,Post-Graduate,High,3
S1024,BPMVA,JFZGN,bpmva20@edu.in,Male,25,ECE,97.84949713281847,23,33,6.14,8.13,5,18,93.27,C,13,No,No,Primary,Low,9
S1025,ESBYS,HVEAN,esbys546@yahoo.com,Female,20,BBA,73.68153543929763,33,44,8.63,9.29,5,18,117.92,B,7,Yes,Yes,Primary,Low,3
S1026,FSDQI,PGNTQ,fsdqi527@gmail.com,Female,22,MBA,61.557122861437605,31,45,6.32,9.1,5,10,106.42,B,13,Yes,No,None,Medium,9
S1027,EQITW,PHGOL,eqitw226@gmail.com,Female,24,BBA,77.0584060497147,40,35,6.39,8.71,10,19,119.1,B,20,No,No,Post-Graduate,Medium,9
S1028,WZWOV,GVHHM,wzwov415@gmail.com,Female,18,MBA,92.21282522000718,20,32,8.22,8.33,6,12,86.56,C,15,No,Yes,Primary,Low,4
S1029,LKHUS,UVHJH,lkhus907@edu.in,Female,21,MBA,77.16553399476082,33,41,5.04,9.02,5,20,113.06,B,13,Yes,Yes,Graduate,High,8
S1030,JAPJC,RKLPV,japjc251@yahoo.com,Male,22,IT,98.11597875283596,25,49,9.67,9.71,10,13,116.38,B,5,Yes,No,None,Low,1
S1031,RRUTE,EWUOG,rrute615@outlook.com,Other,18,IT,69.64176306216791,21,49,6.19,8.03,9,11,104.22,B,5,Yes,No,Secondary,High,8
S1032,FOUYY,JPVRA,fouyy976@outlook.com,Other,19,CSE,68.15815829776128,29,43,6.07,9.36,10,20,117.44,B,14,Yes,Yes,Primary,High,4
