Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance(%),Midterm_Score,Final_score,Assignment_Avg,Quizzes_Avg,Participation_Score,Project_Score,Total_Score,Grade,Study_Hour_Per_Week,ExtraCircular_Activities,Internet_Access,Parent_Education,Family_Income,Stress(1 - 10)
S1000,BKNWW,MUBGY,bknww946@edu.in,Male,22,CSE,66.83,21,31,9.31,9.55,9,14,93.86,C,17,Yes,Yes,None,High,8
S1001,XMIFG,SAFKS,xmifg506@yahoo.com,Other,18,CE,90.09,33,44,7.39,6.04,10,19,119.42,B,7,No,Yes,Post-Graduate,Medium,4
S1002,RUKBB,WMXGF,rukbb402@edu.in,Female,22,CE,72.32,28,44,5.84,5.42,6,11,100.26,B,19,No,No,Graduate,High,5
S1003,NDPGX,GQMQN,ndpgx413@gmail.com,Female,22,CE,82.23,39,35,5.04,5.26,10,18,112.31,B,20,Yes,Yes,Secondary,Low,6
S1004,KQMAG,GYEZW,kqmag697@gmail.com,Other,25,AI/ML,91.91,40,31,9.88,7.69,9,18,115.57,B,13,Yes,Yes,Secondary,High,5
S1005,ENTBL,KCSKR,entbl194@outlook.com,Male,21,ME,63.43,36,36,8.11,6.31,8,16,110.42,B,5,No,No,Primary,Medium,9
S1006,XUCTK,BGPJQ,xuctk933@gmail.com,Female,22,CSE,83.57,24,42,7.73,7.5,8,14,103.24,B,20,No,No,Post-Graduate,High,8
S1007,DRVON,ENYDQ,drvon453@gmail.com,Female,23,CSE,71.77,40,42,5.56,5.84,6,13,112.4,B,13,Yes,Yes,Primary,Low,7
S1008,KOXEN,QQTFM,koxen977@gmail.com,Female,24,ME,72.83,39,49,7.92,7.39,9,12,124.32,A,6,Yes,Yes,Secondary,Low,6
S1009,GANEF,RDFMY,ganef876@edu.in,Male,23,MBA,83.52,21,33,6.0,8.36,9,16,93.36,C,20,No,No,None,High,3
S1010,KKNCT,RTSZO,kknct492@edu.in,Male,24,MBA,93.68,25,37,6.85,6.56,9,17,101.41,B,20,Yes,No,None,Low,8
S1011,ITDME,FQTFS,itdme670@outlook.com,Female,19,IT,84.01,37,31,9.31,7.28,7,15,106.59,B,17,No,No,Graduate,Medium,3
S1012,GVEIQ,KWQNR,gveiq987@outlook.com,Male,19,AI/ML,98.83,21,30,8.66,5.9,9,19,93.56,C,11,No,Yes,None,Low,6
S1013,TLIIR,STCSD,tliir8@yahoo.com,Other,25,CSE,61.11,33,36,9.98,7.14,9,10,105.12,B,12,No,Yes,Graduate,Medium,3
S1014,RAQWV,UNFQU,raqwv567@gmail.com,Other,18,BBA,68.28,30,43,6.41,9.88,8,11,108.28,B,19,Yes,Yes,Secondary,Low,3
S1015,ATIWP,VKTOV,atiwp626@edu.in,Male,22,ME,76.95,39,34,7.04,9.47,6,20,115.51,B,5,No,No,Graduate,Medium,8
S1016,FOISN,YCFBP,foisn840@edu.in,Other,25,IT,98.91,22,42,9.88,8.7,6,12,100.58,B,2,No,Yes,None,Medium,9
S1017,KTTYD,LNODR,kttyd396@yahoo.com,Male,21,BBA,63.51,31,36,5.87,5.8,5,16,99.66,C,8,No,Yes,Post-Graduate,Low,8
S1018,UARJD,EGTME,uarjd197@outlook.com,Other,23,MBA,96.67,30,43,6.08,7.98,10,19,116.07,B,17,Yes,Yes,None,Low,4
S1019,AWLBI,GBUNA,awlbi866@yahoo.com,Male,18,ECE,88.47,36,31,8.53,6.16,10,18,109.69,B,17,Yes,No,Post-Graduate,Low,3
S1020,KLBMC,ZAEBV,klbmc82@gmail.com,Male,23,CE,82.27,25,44,7.69,5.36,8,12,102.05,B,3,Yes,No,Graduate,Medium,6
S1021,TORML,VRSBC,torml748@yahoo.com,Male,18,MBA,68.47,29,43,9.15,9.25,5,11,106.4,B,10,Yes,Yes,Secondary,Low,10
S1022,PHLBX,QBCEA,phlbx458@edu.in,Other,24,CSE,76.72,21,32,9.55,5.7,5,18,91.25,C,6,Yes,No,None,Low,5
S1023,LDKWB,BUUGY,ldkwb501@edu.in,Other,20,CE,95.66,22,38,7.47,8.63,7,13,96.1,C,5,No,No,None,Medium,4
S1024,NHKPN,HEELS,nhkpn76@gmail.com,Other,24,MBA,88.69,40,31,6.99,9.64,6,20,113.63,B,3,Yes,Yes,Secondary,Medium,4
S1025,EZVBW,VHRLJ,ezvbw593@edu.in,Female,20,ECE,64.79,21,39,6.2,9.06,8,20,103.26,B,12,No,Yes,Secondary,Medium,9
S1026,VEMIG,YQQDT,vemig898@yahoo.com,Other,18,BBA,92.04,22,48,9.1,9.52,8,19,115.62,B,16,No,Yes,Post-Graduate,High,9
S1027,AWSOB,AUKLL,awsob410@yahoo.com,Other,25,ME,68.66,31,42,6.55,9.71,10,15,114.27,B,15,Yes,Yes,None,High,6
S1028,YINTK,WHKXQ,yintk742@outlook.com,Other,21,IT,92.16,31,45,6.58,7.32,8,20,117.9,B,11,No,No,Graduate,Low,10
S1029,KMCAB,FTXZP,kmcab229@edu.in,Female,19,ME,83.79,28,35,5.35,9.9,10,17,105.25,B,6,No,No,None,High,7
S1030,ZPFTJ,VIQAN,zpftj694@gmail.com,Female,22,BBA,97.88,24,31,9.85,7.15,9,15,96.0,C,14,Yes,No,Post-Graduate,Medium,10
S1031,XIIRC,ABBKT,xiirc772@yahoo.com,Female,18,AI/ML,68.24,29,33,5.71,6.5,5,15,94.21,C,12,Yes,No,Secondary,High,10
S1032,YDQMT,FWHVU,ydqmt934@edu.in,Female,20,BBA,72.57,25,42,6.82,7.17,5,11,96.99,C,1,Yes,No,Secondary,Medium,2
